flight,sector,eto_hour,eto_minute,eto_second
158,tpth,05,45,0
159,uttup,05,45,0
160,uh,05,45,0
161,ufxf,05,45,0
161,uh,05,57,0
162,pv,05,45,0
163,uh,05,46,0
163,uaus,06,22,0
164,ugw,05,46,0
165,uaus,05,47,0
166,uh,05,47,0
167,uaus,05,48,0
168,uaus,05,48,0
168,ugw,05,59,0
168,uttup,06,09,0
169,ugw,05,49,0
170,uttup,05,49,0
171,uttup,05,49,0
172,ufxf,05,49,0
172,uh,06,02,0
173,ufxf,05,49,0
174,uttup,05,49,0
175,uaus,05,51,0
176,uh,05,51,0
177,uttup,05,51,0
178,uaus,05,54,0
179,uh,05,55,0
179,uaus,06,17,0
180,uh,05,55,0
180,uaus,06,17,0
181,pv,05,55,0
182,uh,05,55,0
182,ufxf,06,03,0
183,tpth,05,55,0
184,tpth,05,56,0
185,uaus,05,57,0
185,ugw,06,23,0
185,uttup,06,35,0
186,pv,05,57,0
187,uaus,05,58,0
188,uaus,05,58,0
188,ugw,06,09,0
189,ugw,05,58,0
189,uaus,06,11,0
190,uaus,05,59,0
191,ufxf,05,59,0
191,uh,06,11,0
192,uttup,05,59,0
193,tpth,05,59,0
194,uh,05,59,0
195,uh,05,59,0
195,ufxf,06,06,0
196,ufxf,05,59,0
196,uh,06,06,0
197,ugw,06,01,0
197,uttup,06,19,0
198,uttup,06,02,0
199,uh,06,02,0
199,ufxf,06,14,0
200,ugw,06,03,0
201,uh,06,04,0
202,uaus,06,04,0
203,pv,06,05,0
203,ugw,06,14,0
204,tpth,06,05,0
205,ugw,06,05,0
206,uh,06,05,0
207,uaus,06,06,0
207,uh,06,36,0
208,uh,06,06,0
208,ufxf,06,18,0
209,uttup,06,06,0
210,uttup,06,06,0
211,pv,06,07,0
212,ufxf,06,08,0
212,uttup,06,23,0
213,ugw,06,08,0
214,uaus,06,09,0
214,ugw,06,22,0
214,uttup,06,32,0
215,tpth,06,10,0
216,uh,06,10,0
217,pv,06,12,0
217,ugw,06,22,0
217,uaus,06,42,0
218,uttup,06,12,0
219,uttup,06,14,0
220,tpth,06,14,0
221,uaus,06,15,0
221,ugw,06,28,0
221,uttup,06,41,0
222,uttup,06,15,0
223,uh,06,15,0
223,ufxf,06,21,0
224,tpth,06,15,0
225,ugw,06,16,0
225,uttup,06,37,0
226,uttup,06,16,0
227,uh,06,16,0
227,ufxf,06,30,0
228,tpth,06,16,0
228,pv,06,40,0
228,uttup,06,49,0
228,ugw,06,57,0
228,ua,07,18,0
228,uaus,07,18,0
229,uaus,06,17,0
229,ugw,06,43,0
229,uttup,06,55,0
230,uttup,06,17,0
231,pv,06,17,0
231,ugw,06,24,0
231,uaus,06,54,0
232,ugw,06,17,0
233,pv,06,17,0
234,ugw,06,18,0
235,pv,06,19,0
236,uaus,06,19,0
236,ugw,06,31,0
236,uttup,06,43,0
237,ugw,06,19,0
237,uttup,06,22,0
238,uh,06,20,0
238,uaus,06,42,0
239,uttup,06,21,0
240,uh,06,21,0
240,ufxf,06,29,0
241,ufxf,06,22,0
241,uh,06,35,0
242,ugw,06,22,0
242,uttup,06,41,0
242,ufxf,06,51,0
243,pv,06,23,0
243,ugw,06,38,0
244,uh,06,24,0
245,uh,06,25,0
245,uaus,06,47,0
246,ufxf,06,25,0
246,uttup,06,40,0
246,pv,06,43,0
247,uttup,06,25,0
248,uaus,06,26,0
249,uttup,06,27,0
250,tpth,06,27,0
251,ufxf,06,28,0
252,uaus,06,28,0
253,ufxf,06,29,0
254,pv,06,29,0
254,ugw,06,44,0
255,ufxf,06,30,0
255,uh,06,42,0
256,pv,06,30,0
257,tpth,06,30,0
258,uh,06,31,0
259,uh,06,31,0
260,pv,06,31,0
261,ugw,06,31,0
262,uh,06,32,0
262,ufxf,06,41,0
263,ugw,06,32,0
263,uaus,06,49,0
264,uttup,06,32,0
265,uaus,06,33,0
266,uttup,06,34,0
267,uaus,06,34,0
268,ugw,06,34,0
268,uttup,06,57,0
269,pv,06,34,0
