flight,sector,eto_hour,eto_minute,eto_second
147,tpth,05,39,00,
148,pv,05,39,00,
148,ugw,05,48,00,
148,uaus,06,11,00,
149,ufxf,05,41,00,
150,tpth,05,41,00,
151,uaus,05,41,00,
151,ugw,06,07,00,
151,uttup,06,19,00,
152,uh,05,41,00,
153,pv,05,42,00,
153,ugw,05,54,00,
153,uaus,06,15,00,
154,pv,05,42,00,
154,ugw,05,51,00,
155,uh,05,42,00,
155,ugw,06,06,00,
156,pv,05,43,00,
156,ugw,05,49,00,
157,ugw,05,44,00,
157,uttup,06,03,00,
158,tpth,05,45,00,
159,uttup,05,45,00,
160,uh,05,45,00,
161,ufxf,05,45,00,
161,uh,05,57,00,
162,pv,05,45,00,
163,uh,05,46,00,
163,uaus,06,22,00,
164,ugw,05,46,00,
165,uaus,05,47,00,
166,uh,05,47,00,
167,uaus,05,48,00,
168,uaus,05,48,00,
168,ugw,05,59,00,
168,uttup,06,09,00,
169,ugw,05,49,00,
170,uttup,05,49,00,
171,uttup,05,49,00,
172,ufxf,05,49,00,
172,uh,06,02,00,
173,ufxf,05,49,00,
174,uttup,05,49,00,
175,uaus,05,51,00,
176,uh,05,51,00,
177,uttup,05,51,00,
178,uaus,05,54,00,
179,uh,05,55,00,
179,uaus,06,17,00,
180,uh,05,55,00,
180,uaus,06,17,00,
181,pv,05,55,00,
182,uh,05,55,00,
182,ufxf,06,03,00,
183,tpth,05,55,00,
184,tpth,05,56,00,
185,uaus,05,57,00,
185,ugw,06,23,00,
185,uttup,06,35,00,
186,pv,05,57,00,
187,uaus,05,58,00,
188,uaus,05,58,00,
188,ugw,06,09,00,
189,ugw,05,58,00,
189,uaus,06,11,00,
190,uaus,05,59,00,
191,ufxf,05,59,00,
191,uh,06,11,00,
192,uttup,05,59,00,
193,tpth,05,59,00,
194,uh,05,59,00,
195,uh,05,59,00,
195,ufxf,06,06,00,
196,ufxf,05,59,00,
196,uh,06,06,00,
197,ugw,06,01,00,
197,uttup,06,19,00,
198,uttup,06,02,00,
199,uh,06,02,00,
199,ufxf,06,14,00,
200,ugw,06,03,00,
201,uh,06,04,00,
202,uaus,06,04,00,
203,pv,06,05,00,
203,ugw,06,14,00,
204,tpth,06,05,00,
205,ugw,06,05,00,
206,uh,06,05,00,
207,uaus,06,06,00,
207,uh,06,36,00,
208,uh,06,06,00,
208,ufxf,06,18,00,
209,uttup,06,06,00,
210,uttup,06,06,00,
211,pv,06,07,00,
212,ufxf,06,08,00,
212,uttup,06,23,00,
213,ugw,06,08,00,
214,uaus,06,09,00,
214,ugw,06,22,00,
214,uttup,06,32,00,
215,tpth,06,10,00,
216,uh,06,10,00,
217,pv,06,12,00,
217,ugw,06,22,00,
217,uaus,06,42,00,
218,uttup,06,12,00,
219,uttup,06,14,00,
220,tpth,06,14,00,
221,uaus,06,15,00,
221,ugw,06,28,00,
221,uttup,06,41,00,
222,uttup,06,15,00,
223,uh,06,15,00,
223,ufxf,06,21,00,
224,tpth,06,15,00,
225,ugw,06,16,00,
225,uttup,06,37,00,
226,uttup,06,16,00,
227,uh,06,16,00,
227,ufxf,06,30,00,
228,tpth,06,16,00,
228,pv,06,40,00,
228,uttup,06,49,00,
228,ugw,06,57,00,
228,ua,07,18,00,
228,uaus,07,18,00,
229,uaus,06,17,00,
229,ugw,06,43,00,
229,uttup,06,55,00,
230,uttup,06,17,00,
231,pv,06,17,00,
231,ugw,06,24,00,
231,uaus,06,54,00,
232,ugw,06,17,00,
233,pv,06,17,00,
234,ugw,06,18,00,
235,pv,06,19,00,
236,uaus,06,19,00,
236,ugw,06,31,00,
236,uttup,06,43,00,
237,ugw,06,19,00,
237,uttup,06,22,00,
238,uh,06,20,00,
238,uaus,06,42,00,
239,uttup,06,21,00,
240,uh,06,21,00,
240,ufxf,06,29,00,
241,ufxf,06,22,00,
241,uh,06,35,00,
242,ugw,06,22,00,
242,uttup,06,41,00,
242,ufxf,06,51,00,
243,pv,06,23,00,
243,ugw,06,38,00,
244,uh,06,24,00,
245,uh,06,25,00,
245,uaus,06,47,00,
246,ufxf,06,25,00,
246,uttup,06,40,00,
246,pv,06,43,00,
247,uttup,06,25,00,
248,uaus,06,26,00,
249,uttup,06,27,00,
250,tpth,06,27,00,
251,ufxf,06,28,00,
252,uaus,06,28,00,
253,ufxf,06,29,00,
254,pv,06,29,00,
254,ugw,06,44,00,
255,ufxf,06,30,00,
255,uh,06,42,00,
256,pv,06,30,00,
257,tpth,06,30,00,
258,uh,06,31,00,
259,uh,06,31,00,
260,pv,06,31,00,
261,ugw,06,31,00,
262,uh,06,32,00,
262,ufxf,06,41,00,
263,ugw,06,32,00,
263,uaus,06,49,00,
264,uttup,06,32,00,
265,uaus,06,33,00,
266,uttup,06,34,00,
267,uaus,06,34,00,
268,ugw,06,34,00,
268,uttup,06,57,00,
269,pv,06,34,00,
270,pv,06,34,00,
270,ugw,06,43,00,
271,tpth,06,34,00,
272,uh,06,35,00,
272,ufxf,06,43,00,
273,pv,06,35,00,
274,uttup,06,35,00,
275,uttup,06,35,00,
276,ugw,06,35,00,
277,uaus,06,36,00,
278,uaus,06,36,00,
279,uttup,06,36,00,
280,uttup,06,36,00,
281,pv,06,37,00,
282,ugw,06,38,00,
283,ugw,06,38,00,
284,pv,06,38,00,
285,tpth,06,38,00,
286,ufxf,06,38,00,
286,uh,06,44,00,
287,uttup,06,39,00,
288,uttup,06,39,00,
289,pv,06,39,00,
289,ugw,06,53,00,
290,uttup,06,39,00,
291,uaus,06,44,00,
292,uttup,06,44,00,
292,ugw,07,00,00,
